37: -3.574453592300415 -2.6405537128448486 1.697983980178833,-4.759867191314697 -1.8756678104400635 1.4170913696289063,-4.480443954467773 -0.4044446647167206 1.5893080234527588,-3.1753990650177 0.20063087344169617 1.125699520111084,-2.049128293991089 -0.7539188265800476 1.3485547304153442,-2.496391534805298 -2.1448278427124023 0.8973925113677979
38: -3.848797559738159 -2.4775071144104004 1.947688341140747,-4.8721513748168945 -1.7958381175994873 1.1924433708190918,-4.606192588806152 -0.35360753536224365 1.5337955951690674,-3.231257200241089 0.09948968887329102 1.1344561576843262,-2.086271047592163 -0.8823056221008301 1.5776054859161377,-2.5511324405670166 -2.3056349754333496 1.3294074535369873
39: -3.7064523696899414 -2.574553966522217 1.6280206441879272,-4.79522705078125 -1.8548486232757568 1.1457545757293701,-4.505802631378174 -0.3876951336860657 1.5300953388214111,-3.2289912700653076 0.14297622442245483 0.9114022254943848,-2.087770938873291 -0.9029794335365295 1.1026122570037842,-2.5426506996154785 -2.29479718208313 0.8588831424713135
40: -3.6449217796325684 -2.703606605529785 1.5460610389709473,-4.683579444885254 -1.92440664768219 0.932990550994873,-4.484949111938477 -0.5888404846191406 1.6116104125976563,-3.156306743621826 0.07585370540618896 1.150467872619629,-1.9574930667877197 -0.8651419878005981 1.4192371368408203,-2.3467440605163574 -2.2785232067108154 1.0774688720703125
41: -3.4862256050109863 -2.741464138031006 1.4427852630615234,-4.629659652709961 -1.946138858795166 1.0228111743927002,-4.572833061218262 -0.5214335918426514 1.4695913791656494,-3.280991554260254 0.11900949478149414 0.978734016418457,-2.1265316009521484 -0.7831268310546875 1.2759342193603516,-2.27923583984375 -2.2955455780029297 0.9348452091217041
42: -3.8000736236572266 -2.2292428016662598 2.336657762527466,-4.7685136795043945 -1.7548383474349976 1.4271795749664307,-4.640985488891602 -0.26800107955932617 1.5515786409378052,-3.208427667617798 0.11206352710723877 1.0963239669799805,-2.0917301177978516 -0.7584927082061768 1.5541415214538574,-2.518435001373291 -2.2011613845825195 1.674614429473877
43: -3.756483316421509 -2.592989683151245 2.112621784210205,-4.710636138916016 -1.8764455318450928 1.2174787521362305,-4.566154479980469 -0.36927616596221924 1.4975794553756714,-3.2238898277282715 0.1946403980255127 1.2042524814605713,-2.0846238136291504 -0.8027536869049072 1.6809775829315186,-2.4762325286865234 -2.2710070610046387 1.5253973007202148
44: -3.8348731994628906 -2.5299952030181885 2.1072285175323486,-4.793554306030273 -1.8790745735168457 1.2867331504821777,-4.6568193435668945 -0.46601009368896484 1.6174867153167725,-3.226749897003174 0.018389225006103516 1.4514179229736328,-2.204115867614746 -0.9166412353515625 2.005606174468994,-2.539374828338623 -2.2633180618286133 1.6222705841064453
45: -3.6131680011749268 -2.5117673873901367 1.7900726795196533,-4.762783527374268 -1.8318424224853516 1.233346939086914,-4.385285377502441 -0.4623298645019531 1.6087498664855957,-3.1228559017181396 0.04796481132507324 0.9970862865447998,-1.9444429874420166 -0.8656635284423828 1.2665419578552246,-2.423546075820923 -2.252917528152466 1.0431103706359863
46: -3.714000940322876 -2.463926315307617 2.107698917388916,-4.741206169128418 -1.8406932353973389 1.3293704986572266,-4.571464538574219 -0.35397815704345703 1.4865562915802002,-3.165534734725952 0.12170958518981934 1.1990728378295898,-2.040954113006592 -0.8189032077789307 1.6218576431274414,-2.4080400466918945 -2.2626969814300537 1.5509607791900635
